signal_date,code,name,rank,popularity_score,source,capture_type,snapshot_time,first_seen_date,appearance_count,consecutive_days,previous_rank,rank_change,price_status,price_date,open,close,high,low,volume,day_return_pct,pre3_return_pct,pre5_return_pct,close_position,volume_ratio_5,dist_ma5_pct,dist_ma10_pct,dist_ma20_pct,dist_high60_pct,upper_shadow_pct,limit_up_like,one_word_like,price_lag_days,announcement_summary,event_summary,capital_flow_pct,capital_flow_signal,dragon_tiger_positive,profit_ratio,concentration_90,board_strength,market_regime,market_score,market_1d_pct,market_5d_pct,market_lag_days,market_price_date,market_source,sh_1d_pct,sz_1d_pct,cyb_1d_pct,sh_5d_pct,sz_5d_pct,cyb_5d_pct,relative_1d_pct,relative_5d_pct,emotion_score,push_level,is_pushed,reasons,risks,suggested_action,strategy_version
2026-05-06,002428,云南锗业,21,9357.0,10jqka,intraday_1430,2026-05-06 14:30:00,2026-05-06,1,1,,,ok,2026-05-06,120.0,120.1,123.38,113.61,662498.0,-3.15,72.36,55.73,0.664,0.64,49.45,56.45,80.84,-2.66,0.336,False,False,0.0,,,12.38,12.38,1.0,0.870916001722706,0.1867860050796587,,强势,74.04,1.97,2.76,0,2026-05-06,common_index_cache,1.17,2.33,2.75,1.97,3.48,3.01,-5.12,52.97,0.0,不推送,False,人气Top50；市场强势且个股相对强势；v4多头排列技术加分；v4筹码集中加分；v4主力资金强净流入；v4龙虎榜提示关注,当日转弱；短线涨幅过热；远离20日线过多；v4乖离率过大；v4远离短中期均线；v4获利盘结构偏弱,强势归纳版：这类形态历史胜率不占优，先留给更干净的强势样本。,v4
2026-05-06,001309,德明利,22,8976.0,10jqka,intraday_1430,2026-05-06 14:30:00,2026-05-06,1,1,,,ok,2026-05-06,935.0,941.6,957.99,898.0,114205.0,-2.93,89.69,92.21,0.727,0.76,58.31,70.79,88.24,-1.71,0.273,False,False,0.0,,,15.6,15.6,1.0,1.0,0.1990072001562615,,强势,74.04,1.97,2.76,0,2026-05-06,common_index_cache,1.17,2.33,2.75,1.97,3.48,3.01,-4.9,89.45,0.0,不推送,False,人气Top50；市场强势且个股相对强势；v4多头排列技术加分；v4筹码集中加分；v4主力资金强净流入；v4龙虎榜活跃,当日转弱；短线涨幅过热；远离20日线过多；v4乖离率过大；v4远离短中期均线；v4获利盘结构偏弱,强势归纳版：这类形态历史胜率不占优，先留给更干净的强势样本。,v4
2026-05-06,603986,兆易创新,23,8966.0,10jqka,intraday_1430,2026-05-06 14:30:00,2026-05-06,1,1,,,ok,2026-05-06,810.0,822.9,833.0,781.11,395787.0,-2.04,168.26,177.12,0.805,0.97,100.44,131.01,164.51,-1.21,0.195,False,False,0.0,,,15.44,15.44,0.0,1.0,0.1501354210583033,,强势,74.04,1.97,2.76,0,2026-05-06,common_index_cache,1.17,2.33,2.75,1.97,3.48,3.01,-4.01,174.36,9.4,不推送,False,人气Top50；收盘承接较强；温和放量；市场强势且个股相对强势；v4多头排列技术加分；v4筹码集中加分；v4主力资金强净流入,当日转弱；短线涨幅过热；远离20日线过多；v4乖离率过大；v4远离短中期均线；v4获利盘结构偏弱,强势归纳版：这类形态历史胜率不占优，先留给更干净的强势样本。,v4
2026-05-06,600487,亨通光电,24,8491.0,10jqka,intraday_1430,2026-05-06 14:30:00,2026-05-06,1,1,,,ok,2026-05-06,112.0,109.06,113.44,107.8,1150056.0,0.94,59.7,56.83,0.223,0.62,42.82,54.18,72.39,-3.86,0.255,False,False,0.0,,,11.95,11.95,0.0,0.9640508854156308,0.2483560629340906,,强势,74.04,1.97,2.76,0,2026-05-06,common_index_cache,1.17,2.33,2.75,1.97,3.48,3.01,-1.03,54.07,0.0,不推送,False,人气Top50；市场强势且个股相对强势；v4多头排列技术加分；v4筹码集中加分；v4主力资金强净流入,收盘承接偏弱；短线涨幅过热；远离20日线过多；v4乖离率过大；v4远离短中期均线；v4正涨但收盘承接一般；v4获利盘结构偏弱,强势归纳版：这类形态历史胜率不占优，先留给更干净的强势样本。,v4
2026-05-06,603399,永杉锂业,25,8443.0,10jqka,intraday_1430,2026-05-06 14:30:00,2026-05-06,1,1,,,ok,2026-05-06,19.99,21.41,22.1,19.38,948862.0,4.59,33.56,49.2,0.746,1.8,20.24,36.87,54.93,-3.12,0.254,False,False,0.0,,,-7.87,-7.87,0.0,1.0,0.3113263988315048,,强势,74.04,1.97,2.76,0,2026-05-06,common_index_cache,1.17,2.33,2.75,1.97,3.48,3.01,2.62,46.44,0.0,不推送,False,人气Top50；当日上涨；温和放量；市场强势且个股相对强势；v4多头排列技术加分；v4筹码集中加分,短线涨幅过热；远离20日线过多；v4乖离率过大；v4远离短中期均线；v4获利盘结构偏弱；v4主力资金强净流出；v4拉升但资金未跟随,强势归纳版：这类形态历史胜率不占优，先留给更干净的强势样本。,v4
2026-05-06,603538,美诺华,26,8305.0,10jqka,intraday_1430,2026-05-06 14:30:00,2026-05-06,1,1,,,ok,2026-05-06,49.18,46.7,49.18,45.4,418167.0,-7.41,-22.32,-18.9,0.344,0.72,-19.75,-16.39,-10.12,-28.48,0.0,False,False,0.0,,,2.12,2.12,0.0,1.0,0.132524205800322,,强势,74.04,1.97,2.76,0,2026-05-06,common_index_cache,1.17,2.33,2.75,1.97,3.48,3.01,-9.38,-21.66,0.0,不推送,False,人气Top50；v4筹码集中加分；v4主力资金净流入,当日转弱；收盘承接偏弱；近5日趋势未确认；仍在20日线下方；强势市里个股相对走弱；v4跌破短均线；v4获利盘结构偏弱,强势归纳版：这类形态历史胜率不占优，先留给更干净的强势样本。,v4
2026-05-06,600673,东阳光,27,8111.0,10jqka,intraday_1430,2026-05-06 14:30:00,2026-05-06,1,1,,,ok,2026-05-06,32.3,35.82,35.89,32.3,1329866.0,9.78,7.83,9.41,0.981,1.85,5.32,5.96,7.92,-13.85,0.019,True,False,0.0,东阳光:东阳光关于控股子公司签署算力服务采购框架合同的公告 | 东阳光:东阳光关于发行股份购买资产并募集配套资金暨关联交易事项的进展公告,重大合同 | 关联交易 | 东阳光:东阳光关于控股子公司签署算力服务采购框架合同的公告 | 东阳光:东阳光关于发行股份购买资产并募集配套资金暨关联交易事项的进展公告,35.06,35.06,0.0,0.9769113973278916,0.289281078983636,,强势,74.04,1.97,2.76,0,2026-05-06,common_index_cache,1.17,2.33,2.75,1.97,3.48,3.01,7.81,6.65,96.4,观察池,False,人气Top50；当日涨停附近；收在日内高位；放量仍可控；近5日趋势升温；站上20日线且不过热；市场强势且个股相对强势；v4多头排列技术加分；v4沿短均线抬升；v4筹码集中加分；v4主力资金强净流入；v4事件催化加分（重大合同）,v4乖离率过大；v4获利盘结构偏弱；涨停封板不可买,涨停封板不可买，放观察池跟踪,v4
2026-05-06,002202,金风科技,28,7972.0,10jqka,intraday_1430,2026-05-06 14:30:00,2026-05-06,1,1,,,ok,2026-05-06,22.89,23.9,23.9,22.89,2041877.0,9.99,-6.31,-6.2,1.0,0.97,-7.52,-7.85,-4.98,-28.23,0.0,True,False,0.0,金风科技:关于股东股份减持计划期限届满暨实施完毕的公告 | 金风科技:关于为全资子公司GoldwindMorocco(SARL)提供担保的公告,股东/实际控制人股份减持 | 提供/对外担保公告 | 金风科技:关于股东股份减持计划期限届满暨实施完毕的公告 | 金风科技:关于为全资子公司GoldwindMorocco(SARL)提供担保的公告,-6.2,-6.2,0.0,0.768297181066405,0.1213340756515465,,强势,74.04,1.97,2.76,0,2026-05-06,common_index_cache,1.17,2.33,2.75,1.97,3.48,3.01,8.02,-8.96,49.4,观察池,False,人气Top50；当日涨停附近；收在日内高位；温和放量；市场强势且个股相对强势；v4筹码集中加分,近5日趋势未确认；v4获利盘结构偏弱；v4主力资金强净流出；v4事件风险扣分（减持）；涨停封板不可买,涨停封板不可买，放观察池跟踪,v4
2026-05-06,600379,宝光股份,29,7933.0,10jqka,intraday_1430,2026-05-06 14:30:00,2026-05-06,1,1,,,ok,2026-05-06,15.61,15.22,15.96,15.11,603236.0,-9.35,9.81,17.98,0.129,1.61,3.24,13.52,19.55,-9.3,0.412,False,False,0.0,,,-17.12,-17.12,0.0,1.0,0.2238740708351552,,强势,74.04,1.97,2.76,0,2026-05-06,common_index_cache,1.17,2.33,2.75,1.97,3.48,3.01,-11.32,15.22,12.4,不推送,False,人气Top50；温和放量；近5日趋势升温；站上20日线且不过热；市场强势且个股相对强势；v4多头排列技术加分；v4筹码集中加分,当日转弱；收盘承接偏弱；v4短线偏离MA5过多；v4远离短中期均线；v4长上影承接转弱；v4获利盘结构偏弱；v4主力资金强净流出,强势归纳版：这类形态历史胜率不占优，先留给更干净的强势样本。,v4
2026-05-06,002407,多氟多,30,7845.0,10jqka,intraday_1430,2026-05-06 14:30:00,2026-05-06,1,1,,,ok,2026-05-06,49.79,50.23,50.23,48.6,1877397.0,10.01,49.63,52.91,1.0,0.96,32.23,45.16,58.89,0.0,0.0,True,False,0.0,,,-0.29,-0.29,0.0,0.980836824231646,0.1490815908243538,,强势,74.04,1.97,2.76,0,2026-05-06,common_index_cache,1.17,2.33,2.75,1.97,3.48,3.01,8.04,50.15,35.4,观察池,False,人气Top50；当日涨停附近；收在日内高位；温和放量；市场强势且个股相对强势；v4多头排列技术加分；v4筹码集中加分,短线涨幅过热；远离20日线过多；v4乖离率过大；v4远离短中期均线；v4获利盘结构偏弱；v4主力资金净流出；涨停封板不可买,涨停封板不可买，放观察池跟踪,v4
