signal_date,code,name,rank,popularity_score,source,capture_type,snapshot_time,first_seen_date,appearance_count,consecutive_days,previous_rank,rank_change,price_status,price_date,open,close,high,low,volume,day_return_pct,pre3_return_pct,pre5_return_pct,close_position,volume_ratio_5,dist_ma5_pct,dist_ma10_pct,dist_ma20_pct,dist_high60_pct,upper_shadow_pct,limit_up_like,one_word_like,price_lag_days
2026-04-10,600111,北方稀土,38,2362.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,52.79,51.75,52.8,51.6,826796.0,-0.1,3.73,8.76,0.125,1.09,2.37,5.43,7.06,-18.59,0.008,False,False,0.0
2026-04-10,002491,通鼎互联,39,2354.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,15.5,14.59,15.78,14.53,3081565.0,-9.6,5.57,21.58,0.048,1.46,0.89,11.09,23.42,-12.42,0.224,False,False,0.0
2026-04-10,002709,天赐材料,40,2343.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,44.25,46.72,46.74,43.85,1535728.0,7.18,7.65,4.97,0.993,2.13,5.43,3.61,4.38,-8.39,0.007,False,False,0.0
2026-04-10,000592,平潭发展,41,2340.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,11.91,11.43,12.26,11.31,4052716.0,-4.03,-5.22,-9.07,0.126,1.17,-3.8,-3.92,1.51,-31.14,0.368,False,False,0.0
2026-04-10,603986,兆易创新,42,2260.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,255.49,265.09,268.32,255.24,534767.0,5.83,6.18,7.33,0.753,1.45,4.34,4.99,-1.78,-19.95,0.247,False,False,0.0
2026-04-10,000889,中嘉博创,43,2253.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,4.35,4.35,4.35,4.1,1790469.0,10.13,33.44,31.82,1.0,4.41,18.53,23.23,26.51,0.0,0.0,True,False,0.0
2026-04-10,002297,博云新材,44,2246.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,11.27,10.98,11.4,10.97,267391.0,-1.26,2.33,0.73,0.023,1.89,0.26,0.41,-0.12,-25.1,0.302,False,False,0.0
2026-04-10,002463,沪电股份,45,2212.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,86.56,88.32,89.66,85.04,881901.0,2.89,15.56,15.8,0.71,1.25,7.45,10.08,7.79,-6.0,0.29,False,False,0.0
2026-04-10,301696,三瑞智能,46,2201.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,90.0,92.0,102.5,85.73,246174.0,,,,0.374,,0.0,0.0,0.0,-10.24,0.626,False,False,0.0
2026-04-10,002460,赣锋锂业,47,2196.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,81.74,83.98,86.99,81.25,1045334.0,3.67,6.36,5.07,0.476,1.5,3.5,4.82,12.9,-3.46,0.524,False,False,0.0
2026-04-10,002361,神剑股份,48,2191.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,16.41,16.49,17.64,16.17,3015815.0,0.49,8.13,-4.63,0.218,1.13,2.21,3.0,18.35,-9.89,0.782,False,False,0.0
