strategy_version,signal_date,code,name,rank,push_level,emotion_score,is_pushed,capture_type,snapshot_time,reasons,risks,price_date,signal_close,latest_price_date,observed_days,latest_return_pct,tail_next_open_pct,tail_next_close_pct,tail_next_max_gain_pct,tail_next_max_drawdown_pct,settled_tail_next_day,open_buy_date,open_buy_price,return_1d_pct,max_gain_1d_pct,max_drawdown_1d_pct,settled_1d,open_buy_return_1d_pct,open_buy_max_gain_1d_pct,open_buy_max_drawdown_1d_pct,settled_open_buy_1d,return_3d_pct,max_gain_3d_pct,max_drawdown_3d_pct,settled_3d,open_buy_return_3d_pct,open_buy_max_gain_3d_pct,open_buy_max_drawdown_3d_pct,settled_open_buy_3d,return_5d_pct,max_gain_5d_pct,max_drawdown_5d_pct,settled_5d,open_buy_return_5d_pct,open_buy_max_gain_5d_pct,open_buy_max_drawdown_5d_pct,settled_open_buy_5d,return_10d_pct,max_gain_10d_pct,max_drawdown_10d_pct,settled_10d,open_buy_return_10d_pct,open_buy_max_gain_10d_pct,open_buy_max_drawdown_10d_pct,settled_open_buy_10d
v2,2026-04-10,600103,青山纸业,21,普通观察,74.0,True,post_close,2026-04-10 15:00:00,人气Top50；当日涨停附近；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热,一字或近似一字，参与点差,2026-04-10,3.91,2026-07-21,68,-33.25,9.72,2.05,9.72,1.28,True,2026-04-13,4.29,2.05,9.72,1.28,True,-6.99,0.0,-7.69,True,1.79,9.72,-0.26,True,-7.23,0.0,-9.09,True,9.72,14.07,-0.26,True,0.0,3.96,-9.09,True,23.79,46.04,-0.26,True,12.82,33.1,-9.09,True
v2,2026-04-10,600030,中信证券,22,不推送,32.0,False,post_close,2026-04-10 15:00:00,人气Top50；当日强涨；近5日趋势升温；站上20日线且不过热,放量过猛,2026-04-10,25.9,2026-07-21,68,9.42,-1.08,0.73,1.47,-1.58,True,2026-04-13,25.62,0.73,1.47,-1.58,True,1.83,2.58,-0.51,True,-1.16,1.81,-1.58,True,-0.08,2.93,-0.51,True,-0.19,1.81,-1.58,True,0.9,2.93,-0.51,True,1.27,4.29,-1.58,True,2.38,5.43,-0.51,True
v2,2026-04-10,600487,亨通光电,23,不推送,8.0,False,post_close,2026-04-10 15:00:00,人气Top50；温和放量；站上20日线且不过热,当日转弱；收盘承接偏弱,2026-04-10,55.98,2026-07-29,74,-11.13,-1.75,-4.45,-0.05,-5.14,True,2026-04-13,55.0,-4.45,-0.05,-5.14,True,-2.75,1.73,-3.45,True,-6.88,-0.05,-7.59,True,-5.22,1.73,-5.95,True,-0.59,0.21,-9.09,True,1.18,2.0,-7.47,True,24.22,27.37,-9.09,True,26.44,29.64,-7.47,True
v2,2026-04-10,002364,中恒电气,24,不推送,45.0,False,post_close,2026-04-10 15:00:00,人气Top50；当日涨停附近；收在日内高位；近5日强势延续；站上20日线且不过热,量能不足；短线涨幅偏高；一字或近似一字，参与点差,2026-04-10,35.12,2026-07-21,68,13.87,9.99,9.99,9.99,9.99,True,2026-04-13,38.63,9.99,9.99,9.99,True,0.0,0.0,0.0,True,23.58,25.74,9.99,True,12.35,14.32,0.0,True,16.49,25.74,9.99,True,5.9,14.32,0.0,True,18.71,29.41,9.99,True,7.92,17.65,0.0,True
v2,2026-04-10,603459,红板科技,25,不推送,52.0,False,post_close,2026-04-10 15:00:00,人气Top50；当日涨停附近；温和放量；站上20日线且不过热,-,2026-04-10,55.08,2026-07-21,68,39.8,-1.72,14.05,27.03,-1.72,True,2026-04-13,54.13,14.05,27.03,-1.72,True,16.05,29.26,0.0,True,24.18,27.03,-1.72,True,26.36,29.26,0.0,True,22.17,31.84,-1.72,True,24.31,34.16,0.0,True,9.11,31.84,-1.72,True,11.03,34.16,0.0,True
v2,2026-04-10,300207,欣旺达,26,不推送,44.0,False,post_close,2026-04-10 15:00:00,人气Top50；当日涨停附近；近5日趋势升温；站上20日线且不过热；v2低分涨停修正,放量过猛,2026-04-10,28.63,2026-05-25,28,-16.24,0.31,1.08,2.97,-1.57,True,2026-04-13,28.72,1.08,2.97,-1.57,True,0.77,2.65,-1.88,True,1.64,5.13,-1.57,True,1.32,4.81,-1.88,True,2.65,5.13,-1.57,True,2.33,4.81,-1.88,True,-3.07,6.88,-9.54,True,-3.38,6.55,-9.82,True
v2,2026-04-10,000977,浪潮信息,27,不推送,44.0,False,post_close,2026-04-10 15:00:00,人气Top50；当日上涨；放量仍可控；近5日趋势升温；站上20日线且不过热,-,2026-04-10,67.5,2026-08-24,92,8.47,-2.28,1.19,3.93,-2.56,True,2026-04-13,65.96,1.19,3.93,-2.56,True,3.55,6.35,-0.29,True,1.99,3.93,-2.56,True,4.37,6.35,-0.29,True,1.02,3.93,-2.56,True,3.38,6.35,-0.29,True,10.83,11.97,-2.56,True,13.42,14.58,-0.29,True
v2,2026-04-10,300750,宁德时代,28,不推送,42.0,False,post_close,2026-04-10 15:00:00,人气Top50；当日上涨；收盘承接较强；放量仍可控；站上20日线且不过热,-,2026-04-10,409.09,2026-07-22,69,-9.0,0.49,2.72,4.24,0.0,True,2026-04-13,411.09,2.72,4.24,0.0,True,2.22,3.73,-0.49,True,3.67,5.73,-0.39,True,3.16,5.22,-0.88,True,6.89,10.76,-0.39,True,6.37,10.22,-0.88,True,8.75,10.76,-0.39,True,8.22,10.22,-0.88,True
v2,2026-04-10,600707,彩虹股份,29,不推送,53.0,False,post_close,2026-04-10 15:00:00,人气Top50；当日涨停附近；收在日内高位；近5日强势延续；站上20日线且不过热；v2低分涨停修正,放量过猛；短线涨幅偏高,2026-04-10,7.02,2026-07-21,68,31.77,-1.0,-1.85,1.42,-3.28,True,2026-04-13,6.95,-1.85,1.42,-3.28,True,-0.86,2.45,-2.3,True,2.42,6.7,-4.42,True,3.45,7.77,-3.45,True,10.97,10.97,-4.42,True,12.09,12.09,-3.45,True,14.96,30.63,-4.42,True,16.12,31.94,-3.45,True
v2,2026-04-10,600743,华远控股,30,不推送,57.0,False,post_close,2026-04-10 15:00:00,人气Top50；当日涨停附近；收在日内高位；放量仍可控；近5日强势延续,短线涨幅偏高；偏离20日线较大,2026-04-10,2.65,2026-07-20,67,-25.28,10.19,10.19,10.19,6.04,True,2026-04-13,2.92,10.19,10.19,6.04,True,0.0,0.0,-3.77,True,9.06,33.21,6.04,True,-1.03,20.89,-3.77,True,1.51,33.21,-3.4,True,-7.88,20.89,-12.33,True,-10.19,33.21,-10.19,True,-18.49,20.89,-18.49,True
