signal_date,code,name,rank,push_level,emotion_score,observed_days,tail_next_open_pct,tail_next_close_pct,tail_next_max_gain_pct,latest_return_pct,best_return_available,return_3d_pct,return_5d_pct,open_buy_return_3d_pct,open_buy_return_5d_pct,return_10d_pct,max_gain_3d_pct,max_gain_5d_pct,max_gain_10d_pct,reasons,risks,strategy_version
2026-06-22,301217,铜冠铜箔,69,不推送,2.55,11,21.2,10.35,21.4,-6.98,21.4,17.71,3.21,-2.87,-14.84,-7.4,21.4,21.4,21.4,温和放量；近5日趋势升温；站上20日线且不过热；持续霸榜,当日转弱；收盘承接偏弱；热度可能进入后段；人气排名明显回落；强势市里个股相对走弱；v3尾盘版回避高位长连榜,v3
2026-04-13,603601,再升科技,93,不推送,12.0,57,0.95,3.5,4.15,-23.83,21.36,9.55,13.48,8.52,12.42,8.89,14.43,16.25,21.36,当日上涨；站上20日线且不过热,近5日趋势未确认,v3
2026-05-25,601138,工业富联,20,不推送,62.6,30,-0.2,-0.03,1.14,-8.89,21.36,7.14,5.36,7.36,5.57,0.69,8.97,13.76,21.36,人气Top20；当日上涨；收盘承接较强；温和放量；站上20日线且不过热；持续霸榜；人气排名明显上升；市场强势且个股相对强势,热度可能进入后段；v3尾盘版回避高位长连榜,v3
2026-04-15,002015,协鑫能科,74,不推送,0.0,55,0.56,3.48,5.73,-15.28,21.35,7.64,11.63,7.04,11.01,5.0,10.0,12.08,21.35,温和放量,近5日趋势未确认；上影线偏长；v3尾盘承接一般,v3
2026-06-12,300059,东方财富,74,不推送,39.45,16,-0.17,4.77,8.04,12.53,21.35,5.6,16.31,5.78,16.5,11.48,8.04,16.31,21.35,当日上涨；收盘承接较强；温和放量；连续上榜确认；震荡市里保持相对强势；震荡市里承接未失控,近5日趋势未确认；后段人气股在偏弱环境里更谨慎,v3
2026-04-22,002938,鹏鼎控股,57,不推送,61.0,50,1.64,-1.0,3.26,21.33,21.33,1.31,-4.41,-0.32,-5.95,3.83,3.26,3.26,4.9,当日涨停附近；收在日内高位；温和放量；近5日强势延续；v2低分涨停修正,短线涨幅偏高；偏离20日线较大,v3
2026-06-01,603629,利通电子,6,不推送,36.0,25,12.65,12.89,21.32,-35.83,21.32,-17.33,-33.07,-26.61,-40.58,-30.99,21.32,21.32,21.32,人气Top10；当日上涨；收盘承接较强；持续霸榜；弱市中个股相对抗跌,近5日趋势未确认；热度可能进入后段；弱市里的长连榜样本优先降权；v3尾盘版回避高位长连榜,v3
2026-04-28,000925,众合科技,53,不推送,0.0,46,-0.92,0.0,10.04,-9.84,21.31,2.46,0.61,3.41,1.55,-1.74,10.04,10.04,21.31,近5日强势延续；站上20日线且不过热,当日转弱；收盘承接偏弱；放量过猛；短线涨幅偏高；v3尾盘版回避放量过猛,v3
2026-04-29,000925,众合科技,100,不推送,0.0,45,0.92,-5.84,3.28,-9.84,21.31,1.43,0.2,0.51,-0.71,-7.48,5.02,9.63,21.31,近5日强势延续；站上20日线且不过热；连续上榜确认,收盘承接偏弱；短线涨幅偏高；人气排名明显回落；v3尾盘版回避放量过猛,v3
2026-06-03,002484,江海股份,69,不推送,34.73,23,2.88,11.37,11.37,2.33,21.3,-3.34,1.26,-6.04,-1.57,21.29,11.37,11.37,21.3,当日上涨；温和放量；近5日强势延续；连续上榜确认；人气排名明显上升；震荡市里保持相对强势,短线涨幅偏高；偏离20日线较大；后段人气股在偏弱环境里更谨慎；v3尾盘承接一般,v3
2026-05-15,001309,德明利,81,不推送,17.73,36,0.77,4.77,5.98,21.3,21.3,-0.8,-3.93,-1.56,-4.67,-8.78,5.98,5.98,5.98,温和放量；近5日趋势升温；站上20日线且不过热；连续上榜确认；震荡市里保持相对强势,当日转弱；收盘承接偏弱；人气排名明显回落；后段人气股在偏弱环境里更谨慎,v3
2026-05-15,002050,三花智控,3,不推送,0.0,36,12.63,14.62,16.59,-1.43,21.29,9.49,17.07,-2.79,3.94,0.37,16.59,18.0,21.29,人气Top3；温和放量；持续霸榜；人气排名明显上升,当日转弱；收盘承接偏弱；近5日趋势未确认；热度可能进入后段；震荡市里相对走弱；市场健康度不足，收缩推送；Top3高热度拥挤，次日兑现风险；v3尾盘版回避高位长连榜,v3
2026-05-12,002050,三花智控,50,不推送,0.0,39,9.16,11.54,11.91,-1.43,21.29,12.76,13.34,3.29,3.83,17.91,16.46,16.59,21.29,人气Top50；温和放量；持续霸榜,当日转弱；收盘承接偏弱；近5日趋势未确认；热度可能进入后段；强势市里个股相对走弱；v3尾盘版回避高位长连榜,v3
2026-05-14,002050,三花智控,39,不推送,0.0,37,6.74,12.76,16.46,-1.43,21.29,13.34,14.42,6.19,7.2,5.28,16.59,18.0,21.29,人气Top50；温和放量；持续霸榜；人气排名明显上升,当日转弱；收盘承接偏弱；近5日趋势未确认；热度可能进入后段；弱市先收缩执行；弱市里的长连榜样本优先降权；市场健康度不足，收缩推送；市场健康度偏弱；v3尾盘版回避高位长连榜,v3
2026-05-18,002050,三花智控,20,不推送,0.0,35,14.79,13.34,16.53,-1.43,21.29,14.42,16.76,-0.32,1.72,-3.47,18.0,19.08,21.29,人气Top20；温和放量；持续霸榜,当日转弱；收盘承接偏弱；近5日趋势未确认；热度可能进入后段；震荡市里相对走弱；市场健康度不足，收缩推送；v3尾盘版回避高位长连榜,v3
2026-06-01,603601,再升科技,18,不推送,0.0,25,14.65,14.65,21.27,-30.1,21.27,4.08,1.27,-9.22,-11.67,-6.69,21.27,21.27,21.27,人气Top20；温和放量；持续霸榜,当日转弱；收盘承接偏弱；近5日趋势未确认；仍在20日线下方；热度可能进入后段；弱市先收缩执行；弱市里的长连榜样本优先降权；市场健康度不足，收缩推送；市场健康度偏弱；v3尾盘版回避高位长连榜,v3
2026-05-20,603459,红板科技,53,观察池,47.45,33,-3.34,1.11,4.15,-5.5,21.26,14.05,9.53,17.99,13.31,2.91,21.26,21.26,21.26,当日涨停附近；收在日内高位；站上20日线且不过热；震荡市里保持相对强势；震荡市里承接未失控；v3尾盘缩量强承接,量能不足；人气排名明显回落；后段人气股在偏弱环境里更谨慎；涨停封板不可买,v3
2026-05-12,603459,红板科技,21,观察池,74.6,39,-4.83,-0.26,5.19,-5.5,21.26,-11.75,-8.59,-7.27,-3.95,18.96,5.19,5.19,21.26,人气Top50；当日涨停附近；收在日内高位；连续上榜确认；人气排名明显上升；市场强势且个股相对强势；v3尾盘涨停延续；v3尾盘缩量强承接,短线涨幅过热；偏离20日线较大；涨停封板不可买,v3
2026-05-22,603459,红板科技,50,观察池,104.6,31,10.57,14.05,21.26,-5.5,21.26,9.53,7.3,-0.94,-2.96,3.71,21.26,21.26,21.26,人气Top50；当日涨停附近；收在日内高位；近5日趋势升温；站上20日线且不过热；连续上榜确认；市场强势且个股相对强势；v2低分涨停修正；v3尾盘涨停延续；v3尾盘缩量强承接；v3热点早段优先,量能不足；涨停封板不可买,v3
2026-05-11,603459,红板科技,60,观察池,40.6,40,3.29,-1.85,3.29,-5.5,21.26,-9.9,-5.17,-12.77,-8.19,14.05,5.19,5.19,21.26,当日涨停附近；收在日内高位；连续上榜确认；市场强势且个股相对强势；v3尾盘缩量强承接,短线涨幅过热；远离20日线过多；涨停封板不可买,v3
2026-06-10,000988,华工科技,99,不推送,0.0,18,-1.34,0.33,1.66,2.56,21.24,7.49,13.86,8.95,15.4,15.91,7.5,15.38,21.24,持续霸榜,当日转弱；收盘承接偏弱；近5日趋势未确认；热度可能进入后段；人气排名明显回落；弱市先收缩执行；后段人气股在偏弱环境里更谨慎；弱市里的长连榜样本优先降权；市场健康度不足，收缩推送；市场健康度偏弱；v3尾盘版回避高位长连榜,v3
2026-05-15,301696,三瑞智能,84,观察池,75.45,36,3.97,12.66,19.56,-13.96,21.24,14.89,8.54,10.51,4.39,-7.94,21.24,21.24,21.24,当日涨停附近；收在日内高位；温和放量；近5日趋势升温；震荡市里保持相对强势；震荡市里承接未失控；v3尾盘缩量强承接,偏离20日线较大；后段人气股在偏弱环境里更谨慎；涨停封板不可买,v3
2026-06-12,300502,新易盛,23,不推送,0.0,16,2.21,7.27,7.35,1.24,21.23,10.73,15.11,8.33,12.62,10.54,11.5,17.3,21.23,人气Top50；温和放量；站上20日线且不过热；持续霸榜,当日转弱；收盘承接偏弱；近5日趋势未确认；热度可能进入后段；震荡市里相对走弱；市场健康度不足，收缩推送；v3尾盘版回避高位长连榜,v3
