strategy_version,generated_at,group_name,group_value,metric_key,metric_label,metric_column,settled_column,sample_count,pushed_count,valid_count,avg_return_pct,win_rate_pct,strong_rate_pct
v1,2026-07-25T04:22:17,人气排名段,Top100,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,3614,24,3346,-0.64,43.6,12.31
v1,2026-07-25T04:22:17,人气排名段,Top100,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,3614,24,3241,-1.09,43.04,16.51
v1,2026-07-25T04:22:17,人气排名段,Top100,10d,10日收益,return_10d_pct,settled_10d,3614,24,2984,-1.68,39.61,23.02
v1,2026-07-25T04:22:17,人气排名段,Top20,latest,至今收益,latest_return_pct,,720,99,690,-21.06,16.67,8.12
v1,2026-07-25T04:22:17,人气排名段,Top20,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,720,99,690,-0.05,43.04,2.75
v1,2026-07-25T04:22:17,人气排名段,Top20,tail_next_close,次日收盘收益,tail_next_close_pct,settled_tail_next_day,720,99,690,0.38,47.39,9.57
v1,2026-07-25T04:22:17,人气排名段,Top20,1d,1日收益,return_1d_pct,settled_1d,720,99,690,0.38,47.39,9.57
v1,2026-07-25T04:22:17,人气排名段,Top20,3d,3日收益,return_3d_pct,settled_3d,720,99,669,-0.54,44.39,17.64
v1,2026-07-25T04:22:17,人气排名段,Top20,5d,5日收益,return_5d_pct,settled_5d,720,99,650,-1.48,42.92,20.92
v1,2026-07-25T04:22:17,人气排名段,Top20,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,720,99,690,0.44,49.71,5.8
v1,2026-07-25T04:22:17,人气排名段,Top20,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,720,99,669,-0.61,44.54,15.7
v1,2026-07-25T04:22:17,人气排名段,Top20,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,720,99,650,-1.53,42.15,18.77
v1,2026-07-25T04:22:17,人气排名段,Top20,10d,10日收益,return_10d_pct,settled_10d,720,99,601,-1.43,43.59,24.46
v1,2026-07-25T04:22:17,人气排名段,Top3,latest,至今收益,latest_return_pct,,216,34,207,-18.99,14.49,5.8
v1,2026-07-25T04:22:17,人气排名段,Top3,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,216,34,207,-0.2,39.61,3.38
v1,2026-07-25T04:22:17,人气排名段,Top3,tail_next_close,次日收盘收益,tail_next_close_pct,settled_tail_next_day,216,34,207,0.27,47.34,10.63
v1,2026-07-25T04:22:17,人气排名段,Top3,1d,1日收益,return_1d_pct,settled_1d,216,34,207,0.27,47.34,10.63
v1,2026-07-25T04:22:17,人气排名段,Top3,3d,3日收益,return_3d_pct,settled_3d,216,34,201,-0.9,43.28,19.9
v1,2026-07-25T04:22:17,人气排名段,Top3,5d,5日收益,return_5d_pct,settled_5d,216,34,196,-1.93,36.22,20.92
v1,2026-07-25T04:22:17,人气排名段,Top3,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,216,34,207,0.48,50.72,4.35
v1,2026-07-25T04:22:17,人气排名段,Top3,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,216,34,201,-0.66,41.29,17.41
