signal_date,code,name,rank,push_level,emotion_score,observed_days,tail_next_open_pct,tail_next_close_pct,tail_next_max_gain_pct,latest_return_pct,best_return_available,return_3d_pct,return_5d_pct,return_10d_pct,max_gain_3d_pct,max_gain_5d_pct,max_gain_10d_pct,reasons,risks,strategy_version
2026-05-11,002580,圣阳股份,8,不推送,0.0,9,30.38,28.8,34.94,-1.7,37.58,18.06,-0.3,,37.58,37.58,,人气Top10；连续上榜确认,当日转弱；量能不足；近5日趋势未确认；强势市里个股相对走弱；v2回避转弱弱收盘样本,v2
2026-04-20,603773,沃格光电,48,不推送,45.0,21,3.11,0.55,8.15,37.48,37.48,3.97,10.21,17.89,13.42,13.42,25.02,人气Top50；当日涨停附近；收在日内高位；近5日强势延续；连续上榜确认；v2低分涨停修正,量能不足；短线涨幅偏高；远离20日线过多,v2
2026-04-30,600726,华电能源,38,不推送,17.0,13,0.15,5.01,6.22,-4.55,37.48,13.96,16.84,6.22,24.58,24.58,37.48,人气Top50；温和放量；近5日强势延续；站上20日线且不过热；持续霸榜,当日转弱；收盘承接偏弱；短线涨幅偏高；热度可能进入后段,v2
2026-04-14,600105,永鼎股份,41,不推送,38.0,25,0.22,0.97,8.31,27.25,37.17,11.08,11.32,20.63,14.31,17.97,37.17,人气Top50；温和放量；近5日趋势升温；站上20日线且不过热；连续上榜确认；v2热点回踩观察,当日转弱；收盘承接偏弱；人气排名明显回落,v2
2026-04-16,002990,盛视科技,78,普通观察,63.0,23,3.56,9.78,9.78,37.15,37.15,-2.74,5.98,16.0,16.47,16.47,16.6,当日涨停附近；收在日内高位；温和放量；近5日强势延续；连续上榜确认,短线涨幅偏高；偏离20日线较大,v2
2026-04-20,002491,通鼎互联,30,普通观察,72.0,21,0.18,0.66,3.55,37.02,37.02,1.14,1.08,12.86,9.38,9.38,12.86,人气Top50；当日涨停附近；收在日内高位；近5日趋势升温；站上20日线且不过热；连续上榜确认；v2低分涨停修正,量能不足,v2
2026-04-20,603538,美诺华,65,不推送,6.0,21,-0.25,2.18,5.49,-1.89,36.92,8.05,9.71,19.92,8.05,15.54,36.92,近5日趋势升温；站上20日线且不过热；持续霸榜；人气排名明显上升,当日转弱；收盘承接偏弱；热度可能进入后段,v2
2026-04-22,600186,莲花控股,14,重点观察,88.0,19,-0.23,10.01,10.01,36.79,36.79,8.73,25.96,19.91,14.09,25.96,34.46,人气Top20；当日上涨；收盘承接较强；温和放量；近5日趋势升温；站上20日线且不过热；连续上榜确认；人气排名明显上升；v2连榜升温修正,-,v2
2026-04-28,002902,铭普光磁,59,普通观察,72.0,15,0.1,-1.53,2.76,14.24,36.73,1.02,14.97,25.83,2.76,14.97,36.73,当日涨停附近；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热,-,v2
2026-05-11,600759,ST洲际,84,不推送,0.0,9,36.6,36.6,36.6,0.0,36.6,23.4,11.32,,36.6,36.6,,收在日内高位；连续上榜确认,当日转弱；放量过猛；近5日趋势未确认；仍在20日线下方；人气排名明显回落；强势市里个股相对走弱；v2回避中后段放量追高样本,v2
2026-04-20,002297,博云新材,5,普通观察,64.0,21,6.32,-2.42,7.45,36.59,36.59,14.29,5.5,27.18,14.7,15.36,33.61,人气Top10；当日涨停附近；收在日内高位；温和放量；连续上榜确认,短线涨幅过热；远离20日线过多,v2
2026-04-22,002938,鹏鼎控股,57,普通观察,61.0,19,1.64,-1.0,3.26,36.43,36.43,1.31,-4.41,5.15,3.26,3.26,6.21,当日涨停附近；收在日内高位；温和放量；近5日强势延续；v2低分涨停修正,短线涨幅偏高；偏离20日线较大,v2
2026-04-29,600379,宝光股份,89,不推送,57.0,14,8.2,10.03,10.03,-11.21,36.39,17.05,20.85,10.1,33.18,33.18,36.39,当日涨停附近；收在日内高位；近5日强势延续；站上20日线且不过热；v2低分涨停修正,短线涨幅偏高,v2
2026-05-13,603986,兆易创新,89,不推送,0.0,7,6.22,3.64,8.68,36.39,36.39,16.39,29.49,,20.13,29.49,,站上20日线且不过热；持续霸榜,当日转弱；收盘承接偏弱；量能不足；近5日趋势未确认；热度可能进入后段；人气排名明显回落；强势市里个股相对走弱；v2回避转弱弱收盘样本；v2回避人气转弱样本,v2
2026-04-28,002617,露笑科技,79,不推送,0.0,15,-1.33,1.86,2.8,21.84,36.35,6.52,6.66,24.63,7.46,8.12,36.35,温和放量,当日转弱；收盘承接偏弱；近5日趋势未确认,v2
2026-04-24,002428,云南锗业,62,不推送,18.0,17,-0.25,-5.6,1.08,12.94,36.28,-10.24,-0.14,31.63,1.08,1.08,36.28,温和放量；近5日趋势升温；持续霸榜,偏离20日线较大；热度可能进入后段；人气排名明显回落；上影线偏长,v2
2026-04-27,002149,西部材料,18,不推送,14.0,16,-3.08,-2.21,1.59,24.6,36.26,9.73,26.94,19.21,9.73,28.89,36.26,人气Top20；站上20日线且不过热；持续霸榜,当日转弱；近5日趋势未确认；热度可能进入后段,v2
2026-04-24,002149,西部材料,18,不推送,36.0,17,-0.86,-0.03,2.25,24.56,36.22,-0.28,20.66,29.46,2.25,20.66,36.22,人气Top20；温和放量；近5日趋势升温；站上20日线且不过热；持续霸榜；人气排名明显上升,当日转弱；收盘承接偏弱；热度可能进入后段,v2
2026-04-21,002491,通鼎互联,68,不推送,28.0,20,-0.78,2.81,4.48,36.12,36.12,-6.57,-1.13,23.34,8.66,8.66,23.34,温和放量；近5日趋势升温；站上20日线且不过热；持续霸榜,热度可能进入后段；人气排名明显回落；上影线偏长,v2
2026-04-17,002384,东山精密,34,普通观察,62.0,22,-0.01,-3.15,3.76,36.06,36.06,14.95,15.92,18.37,14.95,20.91,22.81,人气Top50；当日强涨；收盘承接较强；温和放量；近5日趋势升温；持续霸榜,偏离20日线较大；热度可能进入后段,v2
2026-04-24,603601,再升科技,87,不推送,0.0,17,-2.12,5.36,7.69,36.04,36.04,7.19,17.98,27.43,12.48,22.99,32.23,温和放量；持续霸榜,当日转弱；收盘承接偏弱；近5日趋势未确认；热度可能进入后段,v2
2026-05-11,600396,华电辽能,27,不推送,41.0,9,4.87,12.73,12.73,9.06,35.96,24.64,17.53,,35.96,35.96,,人气Top50；当日强涨；收盘承接较强；近5日强势延续；连续上榜确认；市场强势且个股相对强势,量能不足；短线涨幅偏高；偏离20日线较大,v2
2026-04-20,000988,华工科技,62,不推送,0.0,21,-1.72,1.13,1.83,35.95,35.95,2.32,3.31,16.11,7.41,7.41,16.99,温和放量；站上20日线且不过热；持续霸榜,当日转弱；收盘承接偏弱；近5日趋势未确认；热度可能进入后段；人气排名明显回落,v2
2026-04-15,600105,永鼎股份,1,不推送,58.0,24,-0.11,5.14,7.88,26.03,35.86,11.35,21.28,15.4,16.84,21.28,35.86,人气Top3；温和放量；近5日趋势升温；站上20日线且不过热；连续上榜确认；人气排名明显上升,收盘承接偏弱；上影线偏长,v2
2026-04-10,300390,天华新能,17,重点观察,78.0,27,1.55,17.42,19.62,30.51,35.84,12.64,28.54,33.24,19.62,33.24,35.84,人气Top20；当日涨停附近；放量仍可控；近5日趋势升温；站上20日线且不过热；首次上榜即强势；v2低分涨停修正,-,v2
2026-04-28,002015,协鑫能科,66,不推送,12.0,15,-1.43,-0.95,3.02,14.2,35.82,3.5,8.0,15.05,3.5,10.81,35.82,当日上涨；站上20日线且不过热；持续霸榜,近5日趋势未确认；热度可能进入后段；人气排名明显回落,v2
2026-05-06,002384,东山精密,52,不推送,52.0,12,11.23,24.6,24.6,30.19,35.77,28.87,30.31,31.64,31.4,35.77,35.77,当日强涨；收盘承接较强；温和放量；站上20日线且不过热；持续霸榜；人气排名明显上升,近5日趋势未确认；热度可能进入后段,v2
2026-04-10,600869,远东股份,87,不推送,12.0,27,-1.73,-2.44,-0.13,35.77,35.77,-1.41,-5.77,3.97,0.26,0.26,10.45,温和放量；近5日趋势升温；站上20日线且不过热,当日转弱；收盘承接偏弱,v2
2026-04-23,002217,合力泰,80,不推送,12.0,18,-0.36,-2.89,3.25,1.81,35.74,7.58,4.33,25.27,17.69,17.69,35.74,温和放量；近5日趋势升温；站上20日线且不过热；持续霸榜,当日转弱；收盘承接偏弱；热度可能进入后段；人气排名明显回落,v2
2026-04-10,600703,三安光电,50,不推送,0.0,27,-0.34,4.27,5.44,35.68,35.68,1.68,11.73,26.55,5.44,11.73,34.51,人气Top50；温和放量,收盘承接偏弱；仍在20日线下方；上影线偏长,v2
2026-04-28,600736,苏州高新,69,不推送,36.0,15,1.41,7.42,9.85,-3.45,35.68,12.15,26.09,7.29,14.71,35.68,35.68,放量仍可控；近5日趋势升温；站上20日线且不过热；持续霸榜；人气排名明显上升,热度可能进入后段,v2
2026-04-17,300390,天华新能,70,不推送,21.0,22,-1.5,-1.34,0.09,1.54,35.62,-3.34,3.66,30.65,0.09,5.68,35.62,温和放量；近5日强势延续；连续上榜确认,短线涨幅偏高；偏离20日线较大；人气排名明显回落,v2
2026-04-23,600522,中天科技,53,不推送,24.0,18,-0.21,-2.52,1.26,28.62,35.54,2.73,-2.79,29.38,7.22,7.22,35.54,温和放量；近5日趋势升温；站上20日线且不过热；持续霸榜,当日转弱；热度可能进入后段；人气排名明显回落,v2
2026-04-24,000988,华工科技,97,不推送,0.0,17,0.68,3.01,5.14,35.54,35.54,3.23,8.56,23.22,5.14,12.24,30.51,站上20日线且不过热；持续霸榜,当日转弱；近5日趋势未确认；热度可能进入后段,v2
2026-04-30,603629,利通电子,3,强推观察,92.0,13,3.84,10.0,10.0,35.48,35.48,16.05,8.73,20.7,20.2,20.2,25.68,人气Top3；当日涨停附近；收在日内高位；温和放量；近5日趋势升温；持续霸榜；v2低分涨停修正,远离20日线过多；热度可能进入后段,v2
2026-05-06,603629,利通电子,7,重点观察,86.0,13,3.84,10.0,10.0,35.48,35.48,16.05,8.73,20.7,20.2,20.2,25.68,人气Top10；当日涨停附近；收在日内高位；温和放量；近5日趋势升温；持续霸榜；v2低分涨停修正,远离20日线过多；热度可能进入后段,v2
2026-04-22,002580,圣阳股份,1,不推送,30.0,19,-2.69,0.9,4.83,-2.43,35.39,7.82,7.0,28.21,12.79,12.79,35.39,人气Top3；放量仍可控；近5日趋势升温；持续霸榜,当日转弱；收盘承接偏弱；偏离20日线较大；热度可能进入后段,v2
2026-04-21,600522,中天科技,23,普通观察,70.0,20,0.31,7.34,7.4,35.08,35.08,2.37,7.89,26.08,8.01,12.61,26.88,人气Top50；当日上涨；收盘承接较强；放量仍可控；近5日趋势升温；站上20日线且不过热；连续上榜确认；v2连榜升温修正,-,v2
2026-04-24,603618,杭电股份,96,不推送,9.0,17,-1.67,-0.65,0.26,32.62,34.95,-3.57,1.73,29.02,0.26,1.73,34.95,温和放量；近5日强势延续；站上20日线且不过热；连续上榜确认,当日转弱；收盘承接偏弱；短线涨幅偏高；人气排名明显回落,v2
2026-04-30,600498,烽火通信,58,不推送,0.0,13,1.54,4.09,6.79,18.14,34.94,22.11,26.41,21.27,22.11,29.03,34.94,温和放量；连续上榜确认；人气排名明显上升,当日转弱；收盘承接偏弱；近5日趋势未确认；仍在20日线下方,v2
2026-05-18,300657,弘信电子,8,观察池,78.5,4,10.62,20.0,20.0,15.78,34.91,12.86,,,34.91,,,人气Top10；当日涨停附近；收在日内高位；近5日趋势升温；站上20日线且不过热；首次上榜即强势；震荡市里保持相对强势；震荡市里承接未失控,量能不足；一字或近似一字，参与点差；一字板不可买,v2
2026-04-27,300604,长川科技,97,普通观察,66.0,16,0.82,2.45,7.42,34.85,34.85,-0.47,6.16,19.34,7.42,7.42,30.27,当日涨停附近；收盘承接较强；放量仍可控；近5日趋势升温；站上20日线且不过热；v2低分涨停修正,-,v2
2026-04-10,000988,华工科技,14,不推送,50.0,27,-0.91,7.97,8.01,34.84,34.84,-3.12,0.66,-0.52,8.01,8.01,8.01,人气Top20；温和放量；近5日趋势升温；站上20日线且不过热,-,v2
2026-04-13,002364,中恒电气,24,不推送,51.0,26,8.72,9.99,9.99,34.84,34.84,10.79,13.12,6.52,14.32,14.34,17.65,人气Top50；当日涨停附近；收在日内高位；近5日强势延续；连续上榜确认,短线涨幅偏高；偏离20日线较大；一字或近似一字，参与点差,v2
2026-04-15,603601,再升科技,37,不推送,16.0,24,-0.07,4.96,9.64,34.71,34.71,8.73,10.47,6.15,11.38,16.27,16.27,人气Top50；温和放量；站上20日线且不过热；人气排名明显上升,收盘承接偏弱；上影线偏长,v2
