strategy_version,generated_at,group_name,group_value,metric_key,metric_label,metric_column,settled_column,sample_count,pushed_count,valid_count,avg_return_pct,win_rate_pct,strong_rate_pct
v2,2026-07-02T03:57:13,人气排名段,Top50,latest,至今收益,latest_return_pct,,1653,184,1623,3.11,43.31,29.33
v2,2026-07-02T03:57:13,人气排名段,Top50,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,1653,184,1623,-1.74,42.21,5.3
v2,2026-07-02T03:57:13,人气排名段,Top50,tail_next_close,次日收盘收益,tail_next_close_pct,settled_tail_next_day,1653,184,1623,-0.88,48.24,11.15
v2,2026-07-02T03:57:13,人气排名段,Top50,1d,1日收益,return_1d_pct,settled_1d,1653,184,1623,-0.88,48.24,11.15
v2,2026-07-02T03:57:13,人气排名段,Top50,3d,3日收益,return_3d_pct,settled_3d,1653,184,1563,-0.31,48.5,19.77
v2,2026-07-02T03:57:13,人气排名段,Top50,5d,5日收益,return_5d_pct,settled_5d,1653,184,1503,0.04,48.17,22.49
v2,2026-07-02T03:57:13,人气排名段,Top50,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,1653,184,1623,0.92,53.54,5.3
v2,2026-07-02T03:57:13,人气排名段,Top50,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,1653,184,1563,1.63,53.17,19.07
v2,2026-07-02T03:57:13,人气排名段,Top50,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,1653,184,1503,2.09,52.89,23.42
v2,2026-07-02T03:57:13,人气排名段,Top50,10d,10日收益,return_10d_pct,settled_10d,1653,184,1353,0.63,47.82,26.46
v2,2026-07-02T03:57:13,上榜阶段,连续4天及以上,latest,至今收益,latest_return_pct,,2104,152,2055,1.71,44.82,28.76
v2,2026-07-02T03:57:13,上榜阶段,连续4天及以上,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,2104,152,2055,-0.97,43.21,6.28
v2,2026-07-02T03:57:13,上榜阶段,连续4天及以上,tail_next_close,次日收盘收益,tail_next_close_pct,settled_tail_next_day,2104,152,2055,-0.26,49.93,11.05
v2,2026-07-02T03:57:13,上榜阶段,连续4天及以上,1d,1日收益,return_1d_pct,settled_1d,2104,152,2055,-0.26,49.93,11.05
v2,2026-07-02T03:57:13,上榜阶段,连续4天及以上,3d,3日收益,return_3d_pct,settled_3d,2104,152,1961,0.02,49.01,20.09
v2,2026-07-02T03:57:13,上榜阶段,连续4天及以上,5d,5日收益,return_5d_pct,settled_5d,2104,152,1867,0.73,49.06,24.16
v2,2026-07-02T03:57:13,上榜阶段,连续4天及以上,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,2104,152,2055,0.75,53.53,3.75
v2,2026-07-02T03:57:13,上榜阶段,连续4天及以上,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,2104,152,1961,1.23,50.84,17.95
v2,2026-07-02T03:57:13,上榜阶段,连续4天及以上,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,2104,152,1867,2.1,52.81,24.91
v2,2026-07-02T03:57:13,上榜阶段,连续4天及以上,10d,10日收益,return_10d_pct,settled_10d,2104,152,1621,2.01,51.2,28.19
v2,2026-07-02T03:57:13,上榜阶段,连续第2天,latest,至今收益,latest_return_pct,,859,111,853,2.57,41.15,28.49
v2,2026-07-02T03:57:13,上榜阶段,连续第2天,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,859,111,853,-1.39,41.74,4.81
v2,2026-07-02T03:57:13,上榜阶段,连续第2天,tail_next_close,次日收盘收益,tail_next_close_pct,settled_tail_next_day,859,111,853,-0.7,47.95,9.73
v2,2026-07-02T03:57:13,上榜阶段,连续第2天,1d,1日收益,return_1d_pct,settled_1d,859,111,853,-0.7,47.95,9.73
v2,2026-07-02T03:57:13,上榜阶段,连续第2天,3d,3日收益,return_3d_pct,settled_3d,859,111,821,-0.23,48.23,16.32
v2,2026-07-02T03:57:13,上榜阶段,连续第2天,5d,5日收益,return_5d_pct,settled_5d,859,111,786,-0.03,47.07,21.76
v2,2026-07-02T03:57:13,上榜阶段,连续第2天,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,859,111,853,0.75,53.34,4.34
v2,2026-07-02T03:57:13,上榜阶段,连续第2天,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,859,111,821,1.31,52.86,17.17
v2,2026-07-02T03:57:13,上榜阶段,连续第2天,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,859,111,786,1.65,51.53,21.76
v2,2026-07-02T03:57:13,上榜阶段,连续第2天,10d,10日收益,return_10d_pct,settled_10d,859,111,714,-0.38,43.0,24.79
v2,2026-07-02T03:57:13,上榜阶段,连续第3天,latest,至今收益,latest_return_pct,,511,57,499,1.31,41.28,28.06
v2,2026-07-02T03:57:13,上榜阶段,连续第3天,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,511,57,499,-1.55,42.48,4.61
v2,2026-07-02T03:57:13,上榜阶段,连续第3天,tail_next_close,次日收盘收益,tail_next_close_pct,settled_tail_next_day,511,57,499,-0.17,51.9,11.62
v2,2026-07-02T03:57:13,上榜阶段,连续第3天,1d,1日收益,return_1d_pct,settled_1d,511,57,499,-0.17,51.9,11.62
v2,2026-07-02T03:57:13,上榜阶段,连续第3天,3d,3日收益,return_3d_pct,settled_3d,511,57,485,0.16,49.9,21.44
v2,2026-07-02T03:57:13,上榜阶段,连续第3天,5d,5日收益,return_5d_pct,settled_5d,511,57,468,-0.26,50.21,21.79
v2,2026-07-02T03:57:13,上榜阶段,连续第3天,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,511,57,499,1.43,55.11,7.01
v2,2026-07-02T03:57:13,上榜阶段,连续第3天,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,511,57,485,1.79,51.75,19.79
v2,2026-07-02T03:57:13,上榜阶段,连续第3天,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,511,57,468,1.46,52.35,20.94
v2,2026-07-02T03:57:13,上榜阶段,连续第3天,10d,10日收益,return_10d_pct,settled_10d,511,57,430,-0.15,42.79,26.05
v2,2026-07-02T03:57:13,上榜阶段,首次上榜,latest,至今收益,latest_return_pct,,2046,245,2010,3.36,41.24,27.06
v2,2026-07-02T03:57:13,上榜阶段,首次上榜,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,2046,245,2010,-2.0,41.04,3.73
v2,2026-07-02T03:57:13,上榜阶段,首次上榜,tail_next_close,次日收盘收益,tail_next_close_pct,settled_tail_next_day,2046,245,2010,-1.37,47.46,8.91
v2,2026-07-02T03:57:13,上榜阶段,首次上榜,1d,1日收益,return_1d_pct,settled_1d,2046,245,2010,-1.37,47.46,8.91
v2,2026-07-02T03:57:13,上榜阶段,首次上榜,3d,3日收益,return_3d_pct,settled_3d,2046,245,1949,-1.16,45.15,15.19
v2,2026-07-02T03:57:13,上榜阶段,首次上榜,5d,5日收益,return_5d_pct,settled_5d,2046,245,1894,-1.07,44.56,17.95
v2,2026-07-02T03:57:13,上榜阶段,首次上榜,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,2046,245,2010,0.68,53.18,4.13
v2,2026-07-02T03:57:13,上榜阶段,首次上榜,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,2046,245,1949,1.02,51.0,14.93
v2,2026-07-02T03:57:13,上榜阶段,首次上榜,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,2046,245,1894,1.22,49.68,19.64
v2,2026-07-02T03:57:13,上榜阶段,首次上榜,10d,10日收益,return_10d_pct,settled_10d,2046,245,1750,-0.52,43.09,22.97
