snapshot_time,capture_type,code,name,last_price,open,prev_close,current_return_pct,day_high_so_far,day_low_so_far,volume_so_far,amount_so_far,turnover_pct,volume_ratio,source
2026-05-11 14:30:00,intraday_1430,688256,寒武纪,1194.2,1201.0,1182.53,0.99,1205.99,1158.03,214943.0,25499033937.0,3.42,1.57,eastmoney.single_stock_quote
2026-05-11 14:30:00,intraday_1430,688525,佰维存储,315.77,311.1,290.45,8.72,323.5,301.21,489232.0,15300886541.0,10.39,1.41,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,000062,深圳华强,37.96,39.5,39.09,-2.89,39.5,37.46,419437.0,1607225538.66,4.01,4.49,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,000066,中国长城,23.82,23.52,23.4,1.79,25.01,23.52,2034032.0,4933341034.7,6.31,5.25,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,000425,徐工机械,10.68,10.95,10.97,-2.64,11.06,10.67,647257.0,699987229.46,0.72,4.78,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,000547,航天发展,28.65,28.83,28.81,-0.56,29.0,27.97,711315.0,2031593066.06,4.48,4.36,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,000592,平潭发展,11.89,11.7,11.86,0.25,11.98,11.54,745568.0,873138834.05,3.89,3.66,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,000636,风华高科,28.8,28.97,28.46,1.19,29.53,28.03,533650.0,1541425642.16,4.61,7.14,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,000791,甘肃能源,10.12,10.14,10.12,0.0,10.36,9.61,864298.0,864096810.24,4.47,9.07,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,000815,美利云,21.66,21.87,21.84,-0.82,22.06,21.36,256196.0,555132841.39,3.68,2.03,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,000858,五 粮 液,91.05,91.8,91.81,-0.83,91.93,91.04,68242.0,623420008.35,0.18,1.7,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,000938,紫光股份,31.55,32.19,31.69,-0.44,32.3,30.95,565880.0,1779737631.04,1.98,2.6,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,000988,华工科技,145.93,146.98,147.56,-1.1,148.44,144.0,271363.0,3957596504.36,2.7,2.85,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,001309,德明利,622.8,630.56,639.21,-2.57,633.5,612.0,47311.0,2935093643.58,2.93,3.01,eastmoney.single_stock_quote
